Name,Location,Nearest Station,Postal_Code,Latitude,Longitude
Greggs (Abbey Wood),"7 Wilton Road, Abbey Wood, London, SE2 9RH",Abbey Wood,SE2 9RH,51.4907064,0.1210778
Greggs (Thamesmead),"6, Joyce Dawson Way, Thamesmead, London, SE28 8RA",Abbey Wood,SE28 8RA,51.5070067,0.1067046
Greggs (Addiscombe),"251 Lower Addiscombe Road, Addiscombe, Croydon, CR0 6RD",Addiscombe,CR0 6RD,51.3806576,-0.0722609
Greggs (Islington),"31 Chapel Market, Islington, London, N1 9EN",Angel,N1 9EN,51.5336909,-0.1079451
Greggs (Archway),"33 Junction Road, Archway, London, N19 5QT",Archway,N19 5QT,51.5649308,-0.1345248
Greggs (Ashford),"7, Grove House, Church Road, Ashford, Ashford (Middlesex), TW15 2UD",Ashford,TW15 2UD,51.4338822,-0.4652676
Greggs (Balham),"141 Balham High Road, Balham, London, SW12 9AU",Balham,SW12 9AU,51.4440436,-0.1517728
Greggs (Town Centre),"59 East Street, Town Centre, Barking, IG11 8EJ",Barking,IG11 8EJ,51.5378014,0.0789702
Greggs (Barkingside),"75-75A High Street, Barkingside, Ilford, IG6 2AF",Barkingside,IG6 2AF,51.5905717,0.0820784
Greggs (Roehampton),"37 Danebury Avenue, Roehampton, London, SW15 4DQ",Barnes,SW15 4DQ,51.4494714,-0.2420281
Greggs (Becontree),"12 Woodward Road, Becontree, Dagenham, RM9 4SH",Becontree,RM9 4SH,51.5389411,0.1271083
Greggs (Town Centre),"11, Fairgreen Parade, London Road, Town Centre, Mitcham, CR4 3NA",Belgrave Walk,CR4 3NA,51.4055258,-0.1646749
Greggs (Bethnal Green),"112 Roman Road, Bethnal Green, London, E2 0RN",Bethnal Green,E2 0RN,51.5289924,-0.0470819
Greggs (Bermondsey),"79 Tower Bridge Road, Bermondsey, London, SE1 4TW",Borough,SE1 4TW,51.4964271,-0.0827008
Greggs (Bow),"628 Roman Road, Bow, London, E3 2RW",Bow Road,E3 2RW,51.5336898,-0.0276259
Greggs (Ponders End),"110 South Street, Ponders End, Enfield, EN3 4QA",Brimsdown,EN3 4QA,51.6432736,-0.0387615
Greggs (Brixton),"4 Electric Avenue, Brixton, London, SW9 8JX",Brixton,SW9 8JX,51.4624143,-0.1136933
Greggs (Bromley),"112 High Street Bromley, Bromley, Bromley, BR1 1HG",Bromley South,BR1 1HG,51.4037375,0.01494
Greggs (Bromley),"15 High Street Bromley, Bromley, Bromley, BR1 1LF",Bromley South,BR1 1LF,51.4006016,0.0171769
Greggs (),"9 Bush Hill Parade, Enfield, EN1 2HB",Bush Hill Park,EN1 2HB,51.6369876,-0.0808119
Greggs (Edmonton),"8, Cambridge Terrace, Bury Street West, Edmonton, London, N9 9JJ",Bush Hill Park,N9 9JJ,51.6340999,-0.07114
Greggs (Town Centre),"6 Station Approach, Town Centre, Watford, WD19 7DT",Carpenders Park,WD19 7DT,51.6282793,-0.3864132
Greggs (Catford),"136 Rushey Green, Catford, London, SE6 4HQ",Catford Bridge,SE6 4HQ,51.4461805,-0.0196092
Greggs (Becontree),"792 Green Lane, Becontree, Dagenham, RM8 1YT",Chadwell Heath,RM8 1YT,51.56204,0.12301
Greggs (King's Cross),"5 High Holborn, King's Cross, London, WC1V 6DR",Chancery Lane,WC1V 6DR,51.5183946,-0.1121274
Greggs (The City),"81 Leather Lane, The City, London, EC1N 7TS",Chancery Lane,EC1N 7TS,51.5215478,-0.1102393
Greggs (Chingford),"25 Station Road, Chingford, London, E4 7BJ",Chingford,E4 7BJ,51.6309487,0.0027522
Greggs (Chingford),"60 Sewardstone Road, Chingford, London, E4 7PR",Chingford,E4 7PR,51.63499,-0.01279
Greggs (Chiswick),"364 Chiswick High Road, Chiswick, London, W4 5TA",Chiswick Park,W4 5TA,51.4926854,-0.2624655
Greggs (Croydon),"66 High Street, Croydon, Croydon, CR0 1NA",Church Street,CR0 1NA,51.3711977,-0.1005567
Greggs (West Croydon),"51 North End, West Croydon, Croydon, CR0 1TG",Church Street,CR0 1TG,51.3752273,-0.1013769
Greggs (The City),"41-43 Ludgate Hill, The City, London, EC4M 7JN",City Thameslink,EC4M 7JN,51.5138112,-0.1021849
Greggs (Clapham),"166 Clapham High Street, Clapham, London, SW4 7UG",Clapham Common,SW4 7UG,51.4623535,-0.1372825
Greggs (Battersea),"29 Falcon Road, Battersea, London, SW11 2PH",Clapham Junction,SW11 2PH,51.4689619,-0.1708847
Greggs (Battersea),"22 St. John's Road, Battersea, London, SW11 1QQ",Clapham Junction,SW11 1QQ,51.46299,-0.16799
Greggs (),"Bookham Road, Cobham, KT11 3JS",Cobham & Stoke d'Abernon,KT11 3JS,51.3051508,-0.4099166
